Nombre,Apellido,Email,Teléfono,Cargo,Empresa asociada
Diego,Pérez,diego.perez@descansoestrella.com,+51 985345555,Jefe de Compras,descansoestrella.com
Valeria,Flores,valeria.flores@mobiliarioejecutivo.com,+593 970897765,Jefe de Compras,mobiliarioejecutivo.com
Mónica,González,monica.gonzalez@suenoreal.com,+593 925014631,Dueño,suenoreal.com
Mónica,Castro,monica.castro@estilomoderna.com,+593 932162965,Dueño,estilomoderna.com
Pablo,Vargas,pablo.vargas@suenototal.com,+593 926240908,Dueño,suenototal.com
Pablo,Sánchez,pablo.sanchez@mueblesejecutivo.com,+51 999788677,Gerente de Producción,mueblesejecutivo.com
Paola,Pérez,paola.perez@ingenieriaindustrial.com,+593 975181648,Gerente de Producción,ingenieriaindustrial.com
José,Castro,jose.castro@decoracioneselegance.com,+593 920752378,Dueño,decoracioneselegance.com
Diego,Sánchez,diego.sanchez@suenoensueno.com,+593 942035886,Gerente de Producción,suenoensueno.com
Sofía,Silva,sofia.silva@maderasestrella.com,+593 997775215,Dueño,maderasestrella.com
Sofía,Sánchez,sofia.sanchez@autopartesnacional.com,+51 937326368,Gerente de Producción,autopartesnacional.com
Valeria,Torres,valeria.torres@decoracionesmoderna.com,+593 915354599,Dueño,decoracionesmoderna.com
Gabriela,Chávez,gabriela.chavez@aislamientosconfiable.com,+51 954585178,Dueño,aislamientosconfiable.com
Paola,Sánchez,paola.sanchez@decoracionesejecutiva.com,+593 913176186,Dueño,decoracionesejecutiva.com
Gabriela,Ortiz,gabriela.ortiz@autopartesindustrial.com,+593 915134794,Gerente de Producción,autopartesindustrial.com
Pablo,Ramírez,pablo.ramirez@mobiliarioreal.com,+57 3450236225,Gerente de Producción,mobiliarioreal.com
Gabriela,Mendoza,gabriela.mendoza@autopartesconfiable.com,+57 3191048514,Dueño,autopartesconfiable.com
Sofía,Rojas,sofia.rojas@autopartespremium.com,+593 971124923,Jefe de Compras,autopartespremium.com
Ricardo,Ortiz,ricardo.ortiz@ingenieriacentral.com,+57 3991816852,Gerente de Producción,ingenieriacentral.com
Daniela,Castro,daniela.castro@decoracionesclasica.com,+57 3902638839,Dueño,decoracionesclasica.com
Jorge,Ortiz,jorge.ortiz@construccionespremium.com,+51 921267237,Jefe de Compras,construccionespremium.com
Valeria,Rodríguez,valeria.rodriguez@ingenieriatotal.com,+51 987669750,Dueño,ingenieriatotal.com
María,Rojas,maria.rojas@mueblesestrella.com,+57 3982971099,Gerente de Producción,mueblesestrella.com
Esteban,Ortiz,esteban.ortiz@componentespremium.com,+593 955150390,Gerente de Producción,componentespremium.com
Paola,Flores,paola.flores@colchonesconfortplus.com,+51 951098277,Jefe de Compras,colchonesconfortplus.com
María,Chávez,maria.chavez@componentestecnica.com,+593 946817443,Jefe de Compras,componentestecnica.com
Jorge,Vargas,jorge.vargas@descansoconfortplus.com,+593 987446468,Jefe de Compras,descansoconfortplus.com
Gabriela,Castro,gabriela.castro@mueblesmoderno.com,+593 920075036,Dueño,mueblesmoderno.com
Daniela,Rodríguez,daniela.rodriguez@componentescentral.com,+51 996924061,Jefe de Compras,componentescentral.com
Daniela,Chávez,daniela.chavez@construccionestotal.com,+593 991029073,Gerente de Producción,construccionestotal.com
Pablo,Rojas,pablo.rojas@decoracionesreal.com,+51 998269682,Jefe de Compras,decoracionesreal.com
Carlos,Ramírez,carlos.ramirez@construccionesnacional.com,+593 955617282,Gerente de Producción,construccionesnacional.com
Luis,Castro,luis.castro@decoracionestotal.com,+57 3207765664,Gerente de Producción,decoracionestotal.com
Esteban,Mendoza,esteban.mendoza@tapiceriapremium.com,+57 3950961305,Dueño,tapiceriapremium.com
María,Guerrero,maria.guerrero@construccionesprime.com,+57 3408842146,Gerente de Producción,construccionesprime.com
Paola,Mendoza,paola.mendoza@tapiceriaconfort.com,+593 993334601,Jefe de Compras,tapiceriaconfort.com
Patricia,Torres,patricia.torres@aislamientosnacional.com,+593 922120246,Dueño,aislamientosnacional.com
Sofía,Guerrero,sofia.guerrero@autopartesmetalmecanica.com,+593 991883846,Gerente de Producción,autopartesmetalmecanica.com
Esteban,Chávez,esteban.chavez@suenorelax.com,+593 965684858,Jefe de Compras,suenorelax.com
Luis,Silva,luis.silva@aislamientostecnica.com,+51 985776373,Dueño,aislamientostecnica.com
Gabriela,Rodríguez,gabriela.rodriguez@colchonesideal.com,+593 927690330,Jefe de Compras,colchonesideal.com
Sofía,González,sofia.gonzalez@construccionesestructural.com,+57 3880871219,Dueño,construccionesestructural.com
Luis,Ramírez,luis.ramirez@ingenieriapremium.com,+57 3770355806,Dueño,ingenieriapremium.com
Daniela,Vargas,daniela.vargas@ingenieriaestructural.com,+593 940667888,Dueño,ingenieriaestructural.com
Carlos,Rodríguez,carlos.rodriguez@componentesindustrial.com,+51 967965485,Dueño,componentesindustrial.com
Paola,Rojas,paola.rojas@aislamientospremium.com,+593 924524825,Dueño,aislamientospremium.com
Gabriela,Ramírez,gabriela.ramirez@ingenieriacontinental.com,+593 951471222,Dueño,ingenieriacontinental.com
Fernando,Pérez,fernando.perez@mobiliarioclasico.com,+593 959667685,Dueño,mobiliarioclasico.com
Daniela,Ramírez,daniela.ramirez@maderastotal.com,+51 978765957,Jefe de Compras,maderastotal.com
